GDP growth (annual %),,,,,
Country,2015,2016,2017,2018,2019
"Bahamas, The",1.,2.,3.,4.,5.
Argentina,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.025934237
Australia,2.172204753,2.741643069,2.295926947,2.87097248,2.113149425
Azerbaijan,1.093975916,-3.09999988,0.199999939,1.5,2.500000067
Brazil,-3.545763393,-3.275916906,1.322869054,1.783666761,1.220777823
Canada,0.659176864,1.001394414,3.039880225,2.777040554,1.879592028
Cambodia,6.965797814,6.933313973,6.996903699,7.469169207,7.054106932
China,7.041328879,6.848762205,6.947200793,6.749773832,5.950500754
Ecuador,0.098872608,-1.226383985,2.368386526,1.289291933,0.012105103
France,1.112912341,1.095464404,2.291419994,1.865066071,1.842971814
Germany,1.491931528,2.229999868,2.680231114,1.086024514,1.055508247
Norway,1.967128438,1.071558977,2.323290208,1.118828479,0.745798219
Ukraine,-9.772987213,2.440981945,2.359972281,3.48836234,3.199503864
United States,2.706369582,1.667472076,2.255680481,2.918856897,2.288869868
Zimbabwe,1.779872703,0.755869251,4.709492179,4.82421054,-6.144236314
South Africa,1.321862237,0.664552308,1.157946952,1.487617373,0.113053697
Puerto Rico,-1.049443651,-1.263002925,-2.885954759,-4.147474747,1.484814635
Peru,3.252244772,3.953318715,2.518835442,3.969351341,2.240631769